time, Quad.Est.E.Pos, Quad.Est.S.Z
2.669989,0.218708,0.198007
2.674989,0.218271,0.198246
2.679988,0.217954,0.198407
2.684988,0.217503,0.198649
2.689987,0.217130,0.198811
2.694987,0.216678,0.199056
2.699987,0.216062,0.199220
2.704986,0.217843,0.194461
2.709986,0.217783,0.194611
2.714986,0.217537,0.194838
2.719985,0.217399,0.194991
2.724985,0.217101,0.195220
2.729985,0.216853,0.195374
2.734984,0.216511,0.195606
2.739984,0.216287,0.195761
2.744983,0.215926,0.195995
2.749983,0.215637,0.196152
2.754983,0.215181,0.196388
2.759982,0.214837,0.196547
2.764982,0.214331,0.196786
2.769982,0.213867,0.196946
2.774981,0.213292,0.197187
2.779981,0.212937,0.197349
2.784981,0.212317,0.197593
2.789980,0.212224,0.197756
2.794980,0.211628,0.198002
2.799979,0.211096,0.198167
2.804979,0.254941,0.193458
2.809979,0.254967,0.193610
2.814978,0.254668,0.193839
2.819978,0.254351,0.193992
2.824978,0.254087,0.194223
2.829977,0.253956,0.194378
2.834977,0.253692,0.194611
2.839977,0.253516,0.194767
2.844976,0.253173,0.195003
2.849976,0.252962,0.195161
2.854975,0.252647,0.195399
2.859975,0.252426,0.195559
2.864975,0.252087,0.195799
2.869974,0.251853,0.195961
2.874974,0.251515,0.196203
2.879974,0.251290,0.196366
2.884973,0.250994,0.196612
2.889973,0.250853,0.196776
2.894973,0.250557,0.197024
2.899972,0.250354,0.197190
2.904972,0.205378,0.192526
2.909971,0.205117,0.192679
2.914971,0.204572,0.192909
2.919971,0.204163,0.193064
2.924970,0.203590,0.193296
2.929970,0.203142,0.193452
2.934970,0.202521,0.193687
2.939969,0.202096,0.193844
2.944969,0.201496,0.194081
2.949969,0.201132,0.194240
2.954968,0.200526,0.194480
2.959968,0.200081,0.194641
2.964967,0.199446,0.194883
2.969967,0.199015,0.195045
2.974967,0.198394,0.195289
2.979966,0.197959,0.195453
2.984966,0.197348,0.195700
2.989966,0.196877,0.195865
2.994965,0.196249,0.196115
2.999965,0.195905,0.196282
3.004965,0.284749,0.191660
3.009964,0.284471,0.191813
3.014964,0.284048,0.192045
3.019964,0.283659,0.192200
3.024963,0.283252,0.192434
3.029963,0.283039,0.192591
3.034962,0.282570,0.192828
3.039962,0.282262,0.192986
3.044962,0.281840,0.193225
3.049961,0.281579,0.193385
3.054961,0.281196,0.193626
3.059961,0.280926,0.193787
3.064960,0.280497,0.194031
3.069960,0.280245,0.194194
3.074960,0.279862,0.194440
3.079959,0.279631,0.194605
3.084959,0.279275,0.194853
3.089958,0.279081,0.195019
3.094958,0.278713,0.195270
3.099958,0.278441,0.195438
3.104957,0.226405,0.190854
3.109957,0.226123,0.191008
3.114957,0.225558,0.191241
3.119956,0.225217,0.191398
3.124956,0.224591,0.191633
3.129956,0.224177,0.191791
3.134955,0.223542,0.192029
3.139955,0.223101,0.192188
3.144954,0.222450,0.192428
3.149954,0.222020,0.192589
3.154954,0.221344,0.192832
3.159953,0.220901,0.192994
3.164953,0.220215,0.193239
3.169953,0.219784,0.193403
3.174952,0.219125,0.193650
3.179952,0.218687,0.193816
3.184952,0.218074,0.194066
3.189951,0.217611,0.194233
3.194951,0.216969,0.194486
3.199950,0.216518,0.194655
3.204950,0.190898,0.190104
3.209950,0.190540,0.190260
3.214949,0.189985,0.190494
3.219949,0.189600,0.190651
3.224949,0.189013,0.190888
3.229948,0.188616,0.191047
3.234948,0.188035,0.191286
3.239948,0.187633,0.191446
3.244947,0.187047,0.191687
3.249947,0.186666,0.191849
3.254946,0.186099,0.192093
3.259946,0.185707,0.192256
3.264946,0.185141,0.192503
3.269945,0.184772,0.192668
3.274945,0.184211,0.192916
3.279945,0.183842,0.193083
3.284944,0.183299,0.193334
3.289944,0.182943,0.193503
3.294944,0.182395,0.193756
3.299943,0.182073,0.193926
3.304943,0.077762,0.189407
3.309942,0.076990,0.189563
3.314942,0.075909,0.189799
3.319942,0.075192,0.189957
3.324941,0.074074,0.190195
3.329941,0.073388,0.190354
3.334941,0.072231,0.190595
3.339940,0.071455,0.190756
3.344940,0.070278,0.190999
3.349940,0.069480,0.191161
3.354939,0.068226,0.191406
3.359939,0.067377,0.191571
3.364938,0.066105,0.191818
3.369938,0.065248,0.191984
3.374938,0.063931,0.192234
3.379937,0.063072,0.192402
3.384937,0.061713,0.192654
3.389937,0.060756,0.192823
3.394936,0.059332,0.193078
3.399936,0.058384,0.193249
3.404936,0.088678,0.188758
3.409935,0.088076,0.188915
3.414935,0.087351,0.189152
3.419935,0.086857,0.189311
